ID;H1;H2;H3;H4_1;H4_2;H4_3;H4_4;H4_5;H4_6;H4_7;H4_8;H5_1;H5_2;H6;H7;H8;H9;H10;H11;H12;H13;H14;H15;H16_1;H16_2;H16_3;H16_4;H16_5;H17_1;H17_2;H18_1;H18_2;H18_3;H18_4;H18_5;H18_6;H19_1;H19_2;H19_3;H19_4;H19_5;H20_1;H20_2;H20_3;H20_4;H20_5;H20_6;H20_7;H20_8;H21_1;H21_2;H21_3;H21_4;H21_5;H21_6;H21_7;H21_8;H21_9;H21_10;H21_11;H21_12;H22_1;H22_2;H22_3;H22_4;H22_5;H22_6;H22_7;H22_8;H22_9;H22_10;H22_11;H22_12;H22_13;H22_14;H22_15;H22_16;H23_1;H23_2;H23_3;H23_4;H23_5;H23_6;H24;H25;H26;H27;H28;H29;H30;H31;H32;H33;H34;H35;H36;H37;H38;H39;H40;H41;H42;H43;H44;H45;H46;H47;H48;H49;H50;H51;H52;H53;H54;H55;H56;H57;H58;H59;H60;H61;H62;H63;H64;H65;H66;H67;H68;H69;H70;H71;H72;H73;H74;H75;H76;H77;H78;H79;H80;H81;H82;H83;H84;H85
50;1359;9898;3;0,107706;0,058493;0,074682;0,178718;0,157781;0,138571;0,142564;0,141485;0,514;0,486;0,217;0,199;0,648;0,154;54,4;77,2;23,7;0,0266;-28;3;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;1158,49;997;997;997;997;760,48;2777,17;3050,6;778,1;546,44;0;1;2;2;2;;2;1;10,63;1;71;1;15570;0;0;4;22;2;;2;1;0;2;0;2;0;0;0;0;0;4;0;0;9997;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
51;2003;5078;4;0,099842;0,064002;0,070697;0,175857;0,148484;0,127215;0,161087;0,152816;0,521;0,479;0,246;0,205;0,669;0,126;49,5;61,2;18,8;0,0383;-28;-4;0,35;0;0,54;0;0,11;0,26;0,74;0,08;0,32;0,22;0,14;0,13;0,11;0,26;0,25;0,42;0,08;0;0,27;0,05;0,13;0,25;0,2;0,04;0,07;0;0,03;0,03;0,03;0,13;0,08;0;0,25;0,2;0,13;0,11;0;0;0;0;0;0,05;0;0;0,04;0,12;0;0,04;0,07;0,3;0,13;0,26;0;0;0;0,2;0,73;0,07;0;0;1153,06;0,71;0,77;0,04;0,89;657,03;2662,08;3591,79;1155,96;585,49;0;2;2;2;2;;2;1;18,2;3;154;0;99999997;0;0;1;64;2;;0;2;0;1;0;0;0;0;0;0;0;0;0;0;9997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
52;1200;4151;4;0,117321;0,065526;0,072994;0,17562;0,14358;0,129848;0,133221;0,161889;0,489;0,511;0,2;0,223;0,643;0,134;55,6;60,2;20,9;0,0228;7;0;0,32;0;0,6;0,08;0;0,21;0,79;0,04;0,25;0,28;0,24;0,14;0,05;0,13;0,51;0,24;0,12;0;0,4;0,04;0;0,23;0,2;0,12;0;0;0,08;0,04;0,08;0,08;0,04;0,11;0,23;0,2;0;0,12;0;0;0;0;0;0,04;0,04;0,13;0;0,21;0,1;0,16;0,1;0,04;0,04;0,14;0;0;0,04;0,24;0,64;0,03;0;0,05;1158,49;0,77;0,47;0;0,34;811;2730,13;3631,29;1198,8;601,68;0;2;2;2;2;;2;1;12,13;1;240;1;200;0;0;1;15;2;;0;0;0;0;0;0;0;1;0;1;3;5;0;0;9997;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
53;60743;60743;2;0,095583;0,047775;0,063431;0,175493;0,142403;0,125002;0,161665;0,188647;0,481;0,518;0,139;0,178;0,661;0,162;51,3;91;24,5;0,0185;-213;12;0,22;0,02;0,67;0,05;0,04;0,34;0,66;0,08;0,26;0,29;0,21;0,12;0,03;0,1;0,29;0,38;0,22;0;0,5;0,06;0,09;0,25;0,07;0,02;0;0,01;0,12;0,14;0,02;0,24;0,04;0;0,25;0,07;0,09;0,02;0,01;0;0;0;0,01;0,01;0,04;0,03;0,05;0,06;0,05;0,1;0,22;0,15;0,2;0,07;0;0;0,01;0,17;0,69;0,1;0,01;0,02;907,28;0,64;0,76;0,6;0,27;534,11;2626,51;2507,44;981,03;364,29;0;1;1;1;2;;2;8;11,64;7;278;4;208130;0;0;2;44;2;;1;3;1;0;0;1;4;0;4;0;36;1;1;0;9997;1;2;0;0;0;0;0;0;0;0;0;0;1;1;bd;0;0;
54;5006;5006;4;0,102877;0,062725;0,078905;0,165801;0,130643;0,138434;0,121454;0,199161;0,501;0,499;0,189;0,211;0,612;0,177;63,5;84,1;29;0,0207;6;1;0,24;0,03;0,64;0;0,09;0,37;0,63;0,12;0,16;0,15;0,25;0,17;0,16;0,41;0,34;0,19;0,07;0;0,48;0,03;0,03;0,31;0,15;0;0;0;0;0;0;0,06;0;0,45;0,31;0,15;0,03;0;0;0;0;0;0;0,06;0,03;0,08;0,06;0,04;0,03;0,2;0,04;0,07;0,24;0,14;0;0;0;0,16;0,77;0,07;0;0;1103,2;0,68;0,61;0;0,57;744,13;2978,37;3337,5;1270,57;491,49;0;2;2;2;2;;2;1;6,55;4;85;2;9967;0;0;1;12;2;;0;0;0;0;0;0;0;2;0;0;0;1;0;0;9997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
55;120197;120197;2;0,089785;0,044647;0,054992;0,165413;0,153407;0,130149;0,112063;0,249544;0,471;0,529;0,2;0,153;0,648;0,198;54,2;129,6;30,6;0,0357;-522;-100;0,26;0,09;0,43;0,1;0,12;0,39;0,61;0,22;0,29;0,24;0,17;0,06;0,03;0,25;0,5;0,21;0,05;0;0,35;0,05;0,18;0,31;0,07;0,04;0;0;0,01;0,05;0,01;0,24;0,08;0;0,31;0,07;0,18;0,04;0;0,01;0;0,01;0,03;0,05;0,07;0,07;0,06;0,09;0,08;0,16;0,19;0,12;0,04;0,02;0;0;0,06;0,26;0,65;0,02;0;0,01;1239,2;0,16;0,38;0,4;0,21;539,41;2581,82;2863,84;578,49;533,87;99997;1;2;2;2;;2;15;4,86;15;193;2;16220;1;0;2;80;2;;2;5;12;0;0;4;1;3;7;0;8;25;0;0;9997;3;3;2;3;3;4;2;3;2;3;1;1;0;0;;0;0;
56;12652;12652;5;0,090579;0,042444;0,05841;0,156576;0,156813;0,123538;0,171752;0,199889;0,477;0,523;0,21;0,168;0,664;0,168;50,7;100,3;25,4;0,0254;-21;-8;0,2;0,08;0,63;0,03;0,06;0,47;0,53;0,11;0,4;0,25;0,16;0,06;0,02;0,03;0,66;0,21;0,1;0;0,57;0,04;0,02;0,21;0,14;0;0,03;0;0;0;0,02;0,37;0,05;0,02;0,21;0,14;0,02;0,03;0;0,15;0;0;0;0;0,02;0;0,05;0,01;0,09;0,15;0,29;0,23;0,12;0,04;0;0;0;0,06;0,8;0,14;0;0;1239,2;0,29;0,63;0,23;0,26;509,76;2885,49;3235,06;944,63;375,86;0;1;2;2;2;;2;2;6,46;3;211;1;25198;0;0;2;30;2;;2;2;0;1;0;2;0;1;0;0;0;1;0;0;9997;1;2;1;2;2;9;0;0;2;8;0;0;0;0;;0;0;
57;1500;7217;4;0,119717;0,066371;0,074546;0,174034;0,13676;0,124151;0,133989;0,170431;0,493;0,507;0,289;0,229;0,626;0,146;59,8;63,7;23,3;0,0266;-48;2;0,24;0,02;0,63;0;0,11;0,31;0,69;0,13;0,27;0,16;0,28;0,11;0,04;0,4;0,26;0,25;0,08;0;0,33;0,02;0,01;0,35;0,13;0,14;0;0,03;0,02;0,02;0;0,14;0,04;0,13;0,35;0,13;0,01;0,14;0,03;0;0;0,02;0,02;0,23;0,07;0,03;0,04;0,05;0,02;0,12;0,18;0,08;0,04;0,09;0;0;0,16;0,14;0,57;0,12;0;0,01;1158,49;0,47;0,49;0,04;0,47;849,6;2871,99;2911,43;1027,83;707,95;0;2;2;2;2;;2;2;7,12;1;138;0;99999997;0;0;3;40;2;;0;0;0;1;0;1;0;0;0;0;1;0;0;0;9997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
58;12935;12935;2;0,106146;0,059219;0,068496;0,178508;0,143873;0,131272;0,150445;0,162041;0,524;0,476;0,212;0,204;0,661;0,136;51,4;66,4;20,5;0,0228;-84;2;0,24;0,04;0,56;0,08;0,09;0,35;0,65;0,21;0,45;0,22;0,11;0;0;0,18;0,46;0,31;0,05;0;0,61;0,01;0,04;0,2;0,14;0;0,01;0;0,03;0,15;0;0,33;0,04;0,02;0,2;0,14;0,04;0,01;0;0,04;0;0;0,02;0,03;0,02;0,07;0,06;0,05;0,03;0,11;0,14;0,22;0,05;0,21;0;0;0,03;0,23;0,68;0,04;0;0,01;1158,49;0,54;0,49;0,66;0,23;779,79;2612,86;2824,07;907,44;632,19;0;2;2;2;2;;2;2;5,34;4;162;1;10590;0;0;10;40;2;;2;0;0;1;0;2;0;0;1;0;2;0;0;0;9997;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
59;96655;96655;2;0,087755;0,044426;0,056696;0,158595;0,150784;0,123449;0,16622;0,212074;0,469;0,5309;0,123;0,163;0,657;0,18;52,3;110,6;27,5;0,0326;-355;-16;0,32;0,05;0,49;0,09;0,05;0,35;0,65;0,32;0,34;0,23;0,09;0,01;0;0,1;0,22;0,33;0,34;0,01;0,66;0,04;0,03;0,16;0,08;0,01;0,01;0,01;0,07;0,23;0,02;0,25;0,04;0;0,16;0,08;0,03;0,02;0,01;0,1;0,04;0,01;0,02;0,04;0,04;0,03;0,05;0,08;0,11;0,13;0,07;0,14;0,15;0,07;0;0,01;0,01;0,13;0,34;0,12;0;0,39;1243,12;0,34;0,46;0,65;0,11;725;3890,67;4176,59;1559,91;596,02;0;1;2;2;2;;2;13;11,94;9;199;13;59037;1;0;3;20;2;;4;6;4;0;0;1;0;0;16;2;68;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
60;14810;14810;2;0,081161;0,058744;0,072586;0,179608;0,122485;0,142066;0,17846;0,164889;0,478;0,522;0,094;0,181;0,677;0,142;47,8;78,5;21;0,0207;-110;1;0,45;0,01;0,42;0,07;0,05;0,25;0,75;0,18;0,24;0,22;0,27;0,04;0,06;0,13;0,22;0,42;0,24;0;0,39;0,07;0,05;0,18;0,26;0,04;0;0,01;0,02;0,1;0,07;0,2;0,06;0,01;0,18;0,26;0,05;0,04;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,05;0,05;0,02;0,05;0,05;0,16;0,14;0,23;0,2;0;0;0,05;0,09;0,57;0,27;0;0,02;1103,2;0,72;0,74;0,46;0,42;647,77;2540,52;2546,31;944,44;444,57;0;1;2;2;2;;2;3;22,11;3;214;1;17910;0;0;3;10;2;;2;2;2;0;0;3;0;0;4;0;1;0;0;0;9997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
61;1039;7568;4;0,125529;0,061179;0,06805;0,156712;0,168208;0,12315;0,129625;0,167548;0,499;0,501;0,177;0,224;0,631;0,146;58,5;65;23,1;0,0263;-56;0;0,35;0;0,5;0;0,16;0,38;0,62;0,16;0,15;0,34;0,12;0,13;0,1;0,13;0,35;0,36;0,14;0,03;0,26;0;0,14;0,27;0,2;0,13;0;0;0;0,05;0,05;0;0,03;0,08;0,27;0,2;0,14;0,13;0;0,06;0,13;0;0;0,06;0;0,05;0;0,03;0;0,03;0,02;0,12;0,14;0,43;0;0;0,03;0,16;0,56;0,08;0,05;0,13;1178,73;0,74;0,65;0,02;0,37;871,89;3191,5;3430,87;942,74;464,97;0;2;2;2;2;;2;1;16,08;2;87;1;3150;0;0;5;10;2;;1;0;0;1;0;0;0;0;0;0;1;2;0;0;9997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
62;1013;6090;4;0,116749;0,060755;0,084072;0,185222;0,141872;0,129885;0,141379;0,140066;0,492775;0,507225;0,136;0,228;0,654;0,118;52,9;52;18,1;0,0223;-33;1;0,33;0,03;0,62;0;0,02;0,27;0,73;0,08;0,13;0,18;0,31;0,18;0,12;0,14;0,29;0,36;0,21;0;0,54;0,05;0,02;0,2;0,1;0,07;0,02;0;0,04;0,13;0,03;0,2;0,02;0,17;0,2;0,1;0,02;0,09;0;0;0;0;0;0,02;0;0,04;0,03;0,06;0,04;0,07;0,2;0,38;0,15;0;0;0;0;0,13;0,82;0,05;0;0;1125,74;0,88;0,69;0;0,53;595,49;2610,76;2742,35;1189,16;478,1;0;2;2;2;2;;2;1;7,09;4;152;1;6951;0;0;9997;9997;2;;3;0;0;0;0;1;0;1;0;0;0;5;0;0;9997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
63;6301;7181;4;0,110152;0,067679;0,081604;0,172399;0,14413;0,118368;0,126584;0,179084;0,489;0,51;0,168;0,225;0,619;0,156;61,6;69,2;25,2;0,0169;-12;0;0,42;0;0,55;0;0,03;0,27;0,73;0,17;0,27;0,1;0,36;0,06;0,04;0,24;0,32;0,31;0,13;0;0,41;0,1;0,1;0,17;0,07;0,13;0,03;0;0,06;0,15;0,03;0,16;0;0,07;0,17;0,07;0,1;0,15;0;0,04;0,03;0;0,13;0,07;0,06;0,11;0,12;0,12;0,1;0,1;0,14;0;0;0;0;0;0,14;0,26;0,57;0,03;0;0;907,28;0,54;0,34;0;0;638,02;2560,55;2360,08;1081,03;640,38;0;1;2;2;2;;2;1;13,7;3;92;1;5928;0;0;3;15;2;;1;1;0;2;0;2;0;0;0;0;0;6;0;0;9997;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
64;4264;18051;4;0,138829;0,061437;0,060661;0,145643;0,207135;0,127306;0,129522;0,129467;0,489225;0,510775;0,035;0,235;0,66;0,105;51,5;44,4;15,8;0,0223;797;0;0,23;0,05;0,66;0,01;0,05;0,32;0,68;0,06;0,3;0,18;0,31;0,09;0,05;0,14;0,54;0,24;0,08;0;0,54;0,03;0,04;0,14;0,09;0,12;0,04;0;0,01;0,15;0,07;0,31;0,01;0,01;0,14;0,09;0,04;0,16;0;0,01;0;0;0,02;0,01;0,01;0,03;0,04;0,07;0,03;0,04;0,07;0,17;0,1;0,39;0;0,01;0,01;0,2;0,6;0,11;0,03;0,05;1125,74;0,78;0,61;0,06;0,49;263,52;3140,93;3407,13;1129,94;223,88;0;1;2;2;8;;2;2;11,55;3;125;1;99999997;0;0;1;48;2;;0;0;0;1;1;1;1;0;2;0;11;0;0;0;9997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
65;2763;13263;3;0,128478;0,062957;0,087009;0,161728;0,147101;0,131494;0,118148;0,163085;0,4967;0,5033;0,088;0,242;0,616;0,142;62,4;58,9;23,1;0,0191;31;10;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;997;1107,54;997;997;997;997;604,79;2767,33;3194,65;1296,41;416,95;0;2;2;2;2;;2;4;16,21;3;129;5;6342;0;0;5;15;2;;2;2;0;1;0;1;0;0;0;0;0;0;0;0;9997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
66;737098;737098;2;0,077443;0,036043;0,046457;0,142411;0,157516;0,115761;0,17227;0,252099;0,454;0,546;0,1;0,139;0,643;0,218;55,5;156,2;33,8;0,0392;-1563;-106;0,29;0,07;0,4;0,12;0,12;0,37;0,63;0,36;0,33;0,18;0,09;0,02;0,01;0,1;0,2;0,37;0,31;0,01;0,56;0,06;0,05;0,22;0,08;0,01;0;0,02;0,07;0,19;0,05;0,24;0,03;0;0,22;0,08;0,05;0,02;0,02;0,05;0,04;0,02;0,03;0,04;0,05;0,07;0,06;0,06;0,05;0,07;0,1;0,1;0,14;0,17;0;0,01;0,03;0,13;0,55;0,21;0,01;0,08;1178,73;0,35;0,57;0,72;0,11;478,29;3443,06;3707,64;999,9;558,14;99997;1;2;2;2;;2;68;12,71;82;163;32;312676;4;3;2;37;2;;72;29;60;9997;9997;9997;9997;9;106;10;1045;9;6;1;12;1;4;1;2;2;9997;0;0;0;0;0;0;1;2;Profesjonalna obs³uga klienta w jezyku polskim i angielskim.;0;0;
67;306826;306826;2;0,080717;0,040042;0,054311;0,15659;0,142517;0,129497;0,160117;0,236209;0,472;0,528;0,038;0,151;0,643;0,207;55,6;137,6;32,2;0,0543;-947;-131;0,25;0,1;0,45;0,1;0,11;0,38;0,62;0,21;0,26;0,22;0,19;0,07;0,04;0,24;0,44;0,21;0,11;0;0,35;0,08;0,08;0,28;0,1;0,09;0,01;0,01;0,01;0,06;0,03;0,23;0,06;0;0,28;0,1;0,08;0,1;0,01;0,03;0,01;0,01;0,01;0,04;0,05;0,06;0,04;0,07;0,05;0,11;0,21;0,17;0,1;0,05;0;0,01;0,04;0,3;0,59;0,06;0;0,01;1168,42;0,23;0,45;0,24;0,21;365,06;4329,54;4607,04;1253,31;445,89;0;1;1;1;2;;2;35;12,78;37;322;29;374911;12;0;5;107;2;;12;5;3;6;3;1;0;93;52;1;765;94;2;1;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;0;0;
68;1720398;123473;1;0,088173;0,038753;0,043167;0,121606;0,191135;0,122278;0,135058;0,25983;0,537486;0,462514;0,035;0,152;0,622;0,226;60,8;148,1;36,3;0,033307;94;4;0,26;0,09;0,39;0,12;0,14;0,37;0,63;0,32;0,3;0,27;0,11;0,01;0;0,08;0,29;0,44;0,18;0;0,63;0,03;0;0,21;0,09;0,01;0,02;0;0,07;0,19;0,04;0,31;0,02;0;0,21;0,09;0;0,03;0;0,03;0,03;0,02;0,02;0,05;0,21;0,07;0,03;0,04;0,03;0,05;0,07;0,09;0,19;0,09;0;0,02;0,03;0,3;0,41;0,2;0,01;0,05;1601,97;0,38;0,57;0,65;0,07;480,77;6084,93;7084,18;1284,52;441,52;0;1;1;1;1;Romowie;1;7;14,74;16;174;3;36439;0;0;2;15;2;;6;3;0;0;0;6;0;0;20;2;24;0;0;0;9997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
69;9094;14375;3;0,096417;0,045496;0,056765;0,164243;0,141496;0,115478;0,180383;0,199722;0,479;0,52;0,27;0,174;0,66;0,166;51,6;95,2;25,2;0,0319;21;1;0,19;0,11;0,37;0,13;0,19;0,54;0,46;0,26;0,46;0,14;0,12;0,02;0;0,31;0,38;0,22;0,1;0;0,27;0,1;0,03;0,49;0,07;0,02;0;0,02;0,04;0,04;0,02;0,15;0,12;0;0,49;0,07;0,03;0,02;0,02;0;0,11;0;0,03;0,02;0,09;0,06;0,05;0,15;0,08;0,15;0,1;0,09;0;0,07;0;0;0,02;0,13;0,78;0,04;0;0,03;1186,91;0,35;0,32;0,24;0,3;512,03;2910,49;2848,39;793,36;501,37;0;1;2;2;2;;2;1;22,18;3;194;1;5222;3;0;1;4;2;;0;0;1;2;1;1;0;0;4;0;4;0;0;0;9997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
70;737098;737098;2;0,077443;0,036043;0,046457;0,142411;0,157516;0,115761;0,17227;0,252099;0,454;0,546;0,1;0,139;0,643;0,218;55,5;156,2;33,8;0,0392;-1563;-106;0,29;0,07;0,4;0,12;0,12;0,37;0,63;0,36;0,33;0,18;0,09;0,02;0,01;0,1;0,2;0,37;0,31;0,01;0,56;0,06;0,05;0,22;0,08;0,01;0;0,02;0,07;0,19;0,05;0,24;0,03;0;0,22;0,08;0,05;0,02;0,02;0,05;0,04;0,02;0,03;0,04;0,05;0,07;0,06;0,06;0,05;0,07;0,1;0,1;0,14;0,17;0;0,01;0,03;0,13;0,55;0,21;0,01;0,08;1178,73;0,35;0,57;0,72;0,11;478,29;3443,06;3707,64;999,9;558,14;99997;1;2;2;2;;2;68;12,71;82;163;32;312676;4;0;2;10;2;;72;29;60;9997;9997;9997;9997;9;106;10;1045;9;6;1;12;1;4;1;2;2;9997;0;0;0;0;0;0;1;2;Profesjonalna obs³uga klienta w jezyku polskim i angielskim.;0;0;
71;217638;217638;2;0,077372;0,037824;0,048254;0,149404;0,159517;0,12076;0,184853;0,222015;0,474;0,526;0,139;0,143;0,671;0,187;49,1;131,1;27,8;0,0384;-935;-41;0,22;0,07;0,48;0,13;0,09;0,41;0,59;0,25;0,3;0,24;0,16;0,04;0,01;0,16;0,44;0,3;0,09;0;0,42;0,06;0,09;0,28;0,08;0,06;0,01;0,01;0,02;0,08;0,01;0,27;0,06;0;0,28;0,08;0,09;0,06;0,01;0,04;0,06;0,03;0,03;0,04;0,04;0,06;0,05;0,07;0,08;0,09;0,13;0,12;0,16;0,03;0;0;0,05;0,29;0,62;0,05;0;0;1168,42;0,32;0,45;0,3;0,22;370,04;2836,38;2943,83;1107;460,36;0;1;2;2;2;;2;29;16,24;22;198;6;26817;4;0;5;50;1;niemiecki;6;6;12;0;0;0;0;0;10;1;447;0;4;0;9997;0;3;0;0;0;0;0;0;0;0;0;0;1;2;Szkolenia dla sta¿ystów.;0;0;
72;8227;11848;3;0,099426;0,054018;0,067353;0,193366;0,12846;0,1342;0,184419;0,138758;0,498;0,502;0,118;0,191;0,696;0,112;43,6;58,6;16,1;0,0224;-92;2;0,33;0;0,54;0,09;0,04;0,19;0,81;0,12;0,2;0,29;0,16;0,2;0,04;0,21;0,3;0,33;0,16;0;0,4;0,1;0;0,15;0,25;0,06;0,04;0;0;0,11;0;0,33;0,07;0;0,15;0,25;0;0,09;0;0;0,32;0;0;0;0;0,04;0,08;0,13;0;0,04;0,17;0,12;0,11;0;0;0;0;0,2;0,8;0;0;0;1026,36;0,36;0,6;0,38;0,06;2318,81;6390,49;6988,46;1553,02;1760,74;5;1;2;2;2;;2;2;14,94;2;165;1;6566;1;0;2;24;2;;2;1;1;1;1;2;1;2;0;0;9997;10;0;0;9997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
73;6154;12217;3;0,088565;0,054432;0,089465;0,153802;0,12147;0,130801;0,157977;0,203487;0,513465;0,486535;0,265;0,196;0,628;0,176;59,2;90,2;28,1;0,021973;-61;1;0,31;0;0,56;0,06;0,06;0,27;0,73;0,2;0,22;0,28;0,16;0,09;0,05;0,09;0,28;0,36;0,24;0,04;0,36;0,08;0,11;0,23;0,19;0,01;0;0,01;0,01;0,08;0,09;0,17;0,03;0;0,23;0,19;0,11;0,01;0,01;0,05;0,01;0,03;0;0,03;0,06;0,04;0,06;0,12;0,1;0,11;0,14;0,1;0,07;0,11;0;0,01;0;0,18;0,64;0,18;0;0;1601,97;0,49;0,5;0,3;0,26;757,98;2529,74;3006,21;875,17;372,62;0;2;2;2;2;;2;2;19,16;7;230;1;684;0;0;1;14;2;;0;0;0;0;0;0;0;0;2;0;0;0;0;0;9997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;
74;737098;737098;2;0,077443;0,036043;0,046457;0,142411;0,157516;0,115761;0,17227;0,252099;0,454;0,546;0,1;0,139;0,643;0,218;55,5;156,2;33,8;0,0392;-1563;-106;0,29;0,07;0,4;0,12;0,12;0,37;0,63;0,36;0,33;0,18;0,09;0,02;0,01;0,1;0,2;0,37;0,31;0,01;0,56;0,06;0,05;0,22;0,08;0,01;0;0,02;0,07;0,19;0,05;0,24;0,03;0;0,22;0,08;0,05;0,02;0,02;0,05;0,04;0,02;0,03;0,04;0,05;0,07;0,06;0,06;0,05;0,07;0,1;0,1;0,14;0,17;0;0,01;0,03;0,13;0,55;0,21;0,01;0,08;1178,73;0,35;0,57;0,72;0,11;478,29;3443,06;3707,64;999,9;558,14;99997;1;1;1;2;;2;68;12,71;82;163;32;312676;4;0;1;35;2;;72;29;60;9997;9997;9997;9997;9;106;10;1045;9;6;1;12;1;4;1;2;2;9997;0;0;0;0;0;0;1;2;Profesjonalna obs³uga klienta w jezyku polskim i angielskim.;0;0;
75;292732;292732;2;0,083117;0,040018;0,054346;0,154401;0,153975;0,117992;0,134659;0,261492;0,467;0,533;0,123;0,169;0,665;0,167;50,5;98,7;21,2;0,0198;-188;165;0,31;0,04;0,48;0,08;0,09;0,34;0,66;0,28;0,31;0,2;0,16;0,04;0,01;0,09;0,13;0,35;0,42;0,01;0,54;0,05;0,04;0,21;0,13;0,02;0;0,02;0,11;0,15;0,06;0,17;0,03;0;0,21;0,13;0,04;0,03;0,02;0,06;0,04;0,01;0,02;0,02;0,04;0,05;0,04;0,05;0,04;0,08;0,13;0,15;0,16;0,16;0;0,01;0,02;0,11;0,56;0,23;0,01;0,07;1103,2;0,51;0,65;0,62;0,11;363,31;4263,21;4780,09;1468,31;605,63;99997;1;2;2;2;;1;37;13,37;17;152;16;317167;11;0;7;49;2;;0;9997;40;0;0;10;0;9997;19;1;173;9997;4;2;2;0;2;0;0;0;0;1;2;0;0;0;0;0;0;;0;0;
76;756183;756183;2;0,088054;0,03908;0,050414;0,162519;0,173908;0,119266;0,145703;0,221056;0,4673;0,5327;0,047;0,155;0,652;0,194;53,4;125,3;29,7;0,0441;110;306;0,33;0,08;0,36;0,1;0,13;0,33;0,67;0,39;0,3;0,2;0,08;0,02;0,01;0,06;0,19;0,35;0,39;0,01;0,55;0,08;0,03;0,21;0,1;0,02;0,01;0,01;0,09;0,18;0,07;0,21;0,03;0;0,21;0,1;0,03;0,02;0,01;0,05;0,04;0,03;0,02;0,03;0,05;0,06;0,05;0,05;0,04;0,06;0,08;0,09;0,15;0,23;0;0;0,02;0,19;0,55;0,2;0,01;0,03;1107,54;0,42;0,64;0,36;0,18;749,33;4479,95;4453,06;1209,7;530,17;99997;1;2;2;2;;2;88;13,31;71;278;77;1478463;40;0;2;114;2;;7;2;2;0;0;1;1;0;72;14;86;0;6;4;19;1;1;1;3;1;1;0;0;0;0;0;0;1;9997;Regularna nauka jezyka;0;0;
77;1161;8501;4;0,108105;0,068933;0,080108;0,177626;0,142689;0,126338;0,135984;0,160216;0,501;0,498;0,201;0,222;0,641;0,137;56;61,9;21,4;0,0175;2;9;0,23;0,02;0,69;0;0,06;0,39;0,61;0;0,25;0,15;0,28;0,22;0,11;0,21;0,34;0,27;0,18;0;0,29;0;0,11;0,31;0,16;0,12;0;0;0;0,04;0,02;0,13;0,02;0,08;0,31;0,16;0,11;0,12;0;0;0,02;0,02;0,04;0,02;0,04;0,11;0,06;0,15;0,21;0,14;0,02;0,06;0,08;0,02;0;0;0;0,17;0,77;0,06;0;0;907,28;0,73;0,56;0;0,25;538,95;2505,86;2948,55;961,85;503,48;0;1;1;1;2;;2;2;10,06;5;94;11;4060;0;0;0;0;2;;10;2;6;0;0;10;4;0;0;0;0;10;0;0;9997;1;2;1;0;0;0;0;0;0;0;0;0;1;9997;Ci¹gla nauka jêzyka dla dzieci.;0;0;
