NAZWA;OPIS;OPIS2;SLOWA;TYP;SKALA;ROZMIAR;DOKLADNOSC;WART_MIN;WART_MAX;ETYKIETA;WARUNEK
H32;Wydatki bud¿etu gminy na zadania oœwiatowe na 1 mieszkañca. - w z³otych;Wydatki bud¿etu gminy na zadania oœwiatowe na 1 mieszkañca. - w z³otych;wydatki bud¿etu gminy na zadania oœwiatowe;liczba rzeczywista;ilorazowa;9;2;0;900000;;
H33;Wydatki bud¿etu gminy na pomoc spo³eczn¹ na 1 mieszkañca. - w z³otych;Wydatki bud¿etu gminy na pomoc spo³eczn¹ na 1 mieszkañca. - w z³otych;wydatki bud¿etu gminy na pomoc spo³eczn¹;liczba rzeczywista;ilorazowa;9;2;0;900000;;
H34;Liczba ¿o³nierzy NATO przebywaj¹cych na terenie gminy, których dzieci ucz¹ siê w polskich szko³ach. - WskaŸnik;Liczba ¿o³nierzy NATO przebywaj¹cych na terenie gminy, których dzieci ucz¹ siê w polskich szko³ach. - WskaŸnik;liczba ¿o³nierzy NATO na terenie gminy;liczba ca³kowita;porz¹dkowa;5;;0;90000;;
H35;Czy w gminie realizowane s¹ programy miast partnerskich? ;Czy w gminie realizowane s¹ programy miast partnerskich? ;programy miast partnerskich;liczba ca³kowita;nominalna;1;;1;2;"1:tak
2:nie
7:nie dotyczy
8:brak danych
9:odmowa  odpowiedzi";
H36;Czy w rejonie szko³y s¹ obecni imigranci?;Czy w rejonie szko³y s¹ obecni imigranci?;imigranci;liczba ca³kowita;nominalna;1;;1;2;"1:tak
2:nie
7:nie dotyczy
8:brak danych
9:odmowa  odpowiedzi";
H37;Czy dzieci imigrantów uczêszczaj¹ do badanej szko³y?;Czy dzieci imigrantów uczêszczaj¹ do badanej szko³y?;dzieci imigrantów;liczba ca³kowita;nominalna;1;;1;2;"1:tak
2:nie
7:nie dotyczy
8:brak danych
9:odmowa  odpowiedzi";
H38;Czy w rejonie szko³y s¹ obecne mniejszoœci etniczne?;Czy w rejonie szko³y s¹ obecne mniejszoœci etniczne?;mniejszoœci etniczne;liczba ca³kowita;nominalna;1;;1;2;"1:tak
2:nie
7:nie dotyczy
8:brak danych
9:odmowa  odpowiedzi";
H39;Jakie mniejszoœci etniczne wystêpuj¹ w rejonie szko³y?;Jakie mniejszoœci etniczne wystêpuj¹ w rejonie szko³y?;mniejszoœci etniczne;tekst;;255;;;;;H38 = 1
H40;Czy w gminie znajduje siê oœrodek dla uchodŸców?;Czy w gminie znajduje siê oœrodek dla uchodŸców?;oœrodek dla uchodŸców;liczba ca³kowita;nominalna;1;;1;2;"1:tak
2:nie
7:nie dotyczy
8:brak danych
9:odmowa  odpowiedzi";
H41;Liczba szkó³ gimnazjalnych w gminie (ogó³em).;Liczba szkó³ gimnazjalnych w gminie (ogó³em).;liczba szkó³ gimnazjalnych w gminie;liczba ca³kowita;porz¹dkowa;3;;0;900;;
H42;Liczba uczniów przypadaj¹cych na 1 komputer z dostêpem do Internetu przeznaczony do u¿ytku uczniów gimnazjów w gminie. - WskaŸnik;Liczba uczniów przypadaj¹cych na 1 komputer z dostêpem do Internetu przeznaczony do u¿ytku uczniów gimnazjów w gminie. - WskaŸnik;liczba uczniów na 1 komputer z dostêpem do Internetu;liczba rzeczywista;ilorazowa;6;2;0;900;;
H43;Liczba bibliotek i ich filii. ;Liczba bibliotek i ich filii. ;liczba bibliotek i ich filii;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H44;Liczba czytelników bibliotek publicznych na 1000 ludnoœci. - WskaŸnik;Liczba czytelników bibliotek publicznych na 1000 ludnoœci. - WskaŸnik;liczba czytelników bibliotek publicznych;liczba ca³kowita;porz¹dkowa;4;;0;1000;;
H45;Liczba domów i oœrodków kultury, klubów i œwietlic.;Liczba domów i oœrodków kultury, klubów i œwietlic.;liczba domów i oœrodków kultury;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H46;Liczba uczestników imprez w domach i oœrodkach kultury, klubach i œwietlicach.;Liczba uczestników imprez w domach i oœrodkach kultury, klubach i œwietlicach.;liczba uczestników imprez w domach i oœrodkach kultury;liczba ca³kowita;porz¹dkowa;8;;0;50000000;;
H47;Liczba ksiêgarñ jêzykowych lub z wyodrêbnionym dzia³em jêzykowym.;Liczba ksiêgarñ jêzykowych lub z wyodrêbnionym dzia³em jêzykowym.;liczba ksiêgarñ jêzykowych;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H48;Liczba oddzia³ów tzw. „dwujêzycznych” w gimnazjum (gdzie uczy siê przedmiotów po angielsku).;Liczba oddzia³ów tzw. „dwujêzycznych” w gimnazjum (gdzie uczy siê przedmiotów po angielsku).;liczba oddzia³ów dwujêzycznych w gimnazjum;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H49;Liczba olimpiad zwi¹zanych z jêzykiem angielskim/ konkursy jêzykowe czy „oko³ojêzykowe”, w których bior¹ udzia³ uczniowie z badanej szko³y.;Liczba olimpiad zwi¹zanych z jêzykiem angielskim/ konkursy jêzykowe czy „oko³ojêzykowe”, w których bior¹ udzia³ uczniowie z badanej szko³y.;liczba olimpiad zwi¹zanych z jêzykiem angielskim;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H50;Liczba uczniów, którzy bior¹ udzia³ w konkursach jêzykowych czy „oko³ojêzykowych”.;Liczba uczniów, którzy bior¹ udzia³ w konkursach jêzykowych czy „oko³ojêzykowych”.;liczba uczniów bior¹cych udzia³ w konkursach jêzykowych;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H51;Czy w szkole wystêpuje obecnoœæ jêzyka niemieckiego (lub innego), nauczanego jako jêzyk mniejszoœci narodowej?;Czy w szkole wystêpuje obecnoœæ jêzyka niemieckiego (lub innego), nauczanego jako jêzyk mniejszoœci narodowej?;obecnoœæ jêzyka niemieckiego jako jêzyk mniejszoœci narodowej;liczba ca³kowita;nominalna;1;;1;2;"1:tak
2:nie
7:nie dotyczy
8:brak danych
9:odmowa  odpowiedzi";
H52;Jêzyk nauczany jako jêzyk mniejszoœci narodowej.;Jêzyk nauczany jako jêzyk mniejszoœci narodowej. - WskaŸnik;jêzyk nauczany jako jêzyk mniejszoœci narodowej;tekst;;255;;;;;H51 = 1
H53;Liczba miêdzynarodowych projektów edukacyjnych realizowanych w rejonie gminy (w ci¹gu ostatnich 2 lat).;Liczba miêdzynarodowych projektów edukacyjnych realizowanych w rejonie gminy (w ci¹gu ostatnich 2 lat).;liczba miêdzynarodowych projektów edukacyjnych;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H54;Liczba miêdzynarodowych projektów kulturalnych w obszarze gminy (w ci¹gu ostatnich 2 lat).;Liczba miêdzynarodowych projektów kulturalnych w obszarze gminy (w ci¹gu ostatnich 2 lat).;liczba miêdzynarodowych projektów kulturalnych;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
