"";"powiattyp_nazwa";"l_oddzialow_i";"wojewodztwo";"l_uczniow_i";"jedn_id";"jedn_nazwa";"jedn_kodpoczt";"jedn_poczta";"jedn_ulica";"jedn_domlokal";"jedn_telefon";"jedn_faks";"jedn_email";"jedn_www";"rodzaj_jednostki";"zespol";"organ_prowadzacy";"publiczna";"specyfika_jednostki";"zwiazanie";"wojew_gus";"klasa_wielkosci_miejscowosci";"rodzaj_gminy";"braki_oddzialy";"sample.marker"
"518";"grodzki";"17.00";"WOJ. MAZOWIECKIE";500;190000023757;"LXXV Liceum Ogólnokształcące";"00-454";"Warszawa";"Czerniakowska";"128";228414945;228404579;"sekretariat@sobieski.edu.pl";"www.sobieski.edu.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"716";"grodzki";"15.00";"WOJ. ŚLĄSKIE";461;190000030171;"VI LICEUM OGÓLNOKSZTAŁCĄCE";"41-214";"SOSNOWIEC";"CZELADZKA";"58";322915710;322918722;"lo6@sosnowiec.edu.pl";"www.korczak.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"533";"grodzki";"12.00";"WOJ. MAZOWIECKIE";376;190000024400;"II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Batorego";"00-459";"Warszawa";"Myśliwiecka";"6";226282101;226219837;"sekretariat@batory.edu.pl";"www.batory.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"493";"grodzki";"7.00";"WOJ. MAZOWIECKIE";195;190000023300;"XXXV Liceum Ogólnkształcące z Oddziałami Dwujęzycznymi im. B. Prusa";"03-936";"Warszawa";"Zwycięzców";"7/9";226177413;226177413;"sekretariat@prus.edu.pl";"www.prus.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"928";"ziemski";"2.00";"WOJ. WIELKOPOLSKIE";51;190000040145;"Liceum Ogólnokształcące z przystosowaniem do pracy w służbach mundurowych i jednostkach zarządzania kryzysowego";"62-850";"Lisków";"Twórców Liskowa";"1";627634009;627634009;"1bud@wp.pl";"zs1lisków1";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"wieś";"gmina wiejska";0;"A"
"447";"ziemski";"3.00";"WOJ. MAZOWIECKIE";71;190000022381;"Liceum Ogólnokształcące";"05-822";"MILANÓWEK";"WÓJTOWSKA";"3";227583316;227583637;"lo@zsbem.pl";"www.zsbem.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"569";"ziemski";"9.00";"WOJ. MAZOWIECKIE";280;190000025775;"II LICEUM OGÓLNOKSZTAŁCĄCE";"06-500";"MŁAWA";"WARSZAWSKA";"44A";236543727;236543727;"zs4_mlawa@wp.pl";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"97";"ziemski";"20.00";"WOJ. MAŁOPOLSKIE";573;190000006883;"II Liceum Ogólnokształcące";"32-400";"MYŚLENICE";"ZDROJOWA";"18";122720424;122721246;"sekretariat@zsp.edu.pl";"www.zsp.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"1395";"ziemski";"3.00";"WOJ. WARMIŃSKO-MAZURSKIE";69;190000059118;"Liceum Ogólnokształcące";"12-220";"Ruciane-Nida";"K. I. Gałczyńskiego";"2A";874236986;874236986;"lo-nida@o2.pl";"rnida.fm.interia.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";28;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"361";"ziemski";"14.00";"WOJ. PODKARPACKIE";422;190000016762;"Liceum Ogólnokształcące";"36-100";"Kolbuszowa";"Jana Pawła II";"8";172271545;172271530;"lokolb@intertele.pl";"lo-kolbuszowa.szkoly.itl.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";18;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"1502";"ziemski";"4.00";"WOJ. ŚWIĘTOKRZYSKIE";97;190000064023;"Liceum Ogólnokształcące w Chęcinach";"26-060";"Chęciny";"Białego Zagłębia";"1";413151068;413151068;"zs2checiny@onet.pl";"www.zspcheciny.cal.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";26;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"44";"ziemski";"18.00";"WOJ. MAŁOPOLSKIE";512;190000005037;"I Liceum Ogólnokształcące";"34-100";"Wadowice";"Mickiewicza";"16";338234144;338234144;"sekretariat_lo@poczta.onet.pl";"www.zsowadowice.to.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"16";"grodzki";"28.00";"WOJ. MAŁOPOLSKIE";948;190000004354;"III Liceum Ogólnokształcące";"33-100";"Tarnów";"Brodzińskiego";"6";146888400;146888401;"dyrekcja@iii-lo.tarnow.pl";"www.iii-lo.tarnow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"343";"grodzki";"31.00";"WOJ. PODKARPACKIE";1085;190000016406;"VI Liceum Ogólnokształcące";"35-010";"Rzeszów";"Towarnickiego";"4";177482150;177482175;"sekretariat@zs1.resman.pl";"www.lo6.resman.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";18;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"114";"ziemski";"6.00";"WOJ. MAŁOPOLSKIE";158;190000008281;"Liceum w Zespole";"33-380";"KRYNICA - ZDRÓJ";"Nadbrzeżna";"3";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"5";"ziemski";"6.00";"WOJ. MAŁOPOLSKIE";187;190000002040;"Liceum Ogólnokształcące";"32-005";"Niepołomice";"Pl. Kazmierza Wielkiego";"1";122811516;122811694;"zs_niepo@poczta.onet.pl";"www.lo-niepolomice.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"657";"ziemski";"3.00";"WOJ. MAZOWIECKIE";75;190000028118;"Liceum Ogólnokształcące";"96-515";"Teresin";"Aleja XX-lecia";"12";468613813;468613813;"zsrteresin@post.pl";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"wieś";"gmina wiejska";0;"A"
"1354";"ziemski";"13.00";"WOJ. ZACHODNIOPOMORSKIE";327;190000057258;"II Liceum Ogólnokształcące";"78-600";"Wałcz";"Bydgoska";"52";672589221;672589221;"lowalcz@poczta.onet.pl";"lo2walcz.neostrada.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";32;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1349";"ziemski";"17.00";"WOJ. ZACHODNIOPOMORSKIE";446;190000057141;"II LICEUM OGÓLNOKSZTAŁCĄCE";"78-400";"SZCZECINEK";"SZCZECIŃSKA";"47";943743122;943742777;"sekretariat@zs1ken.szczecinek.gawex.pl";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";32;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1765";"ziemski";"3.00";"WOJ. LUBUSKIE";54;190000074288;"Liceum Ogólnokształcące w Sławie";"67-410";"SŁAWA";"OGRODOWA";"1";683566511;683567234;"sekretariat@zsp-slawa.pl";"www.zsp-slawa.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";8;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"1227";"ziemski";"12.00";"WOJ. KUJAWSKO-POMORSKIE";324;190000051755;"III Liceum Ogólnokształcące";"87-300";"Brodnica";"Matejki";"5";564987851;564987851;"sekretzs1@go2.pl";"www.zs1brodnica.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";4;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"231";"ziemski";"3.00";"WOJ. ŁÓDZKIE";15;190000012201;"Katolickie Liceum Ogólnokształcące SPSK";"97-500";"Radomsko";"KS. ANTONIEGO TURLEJA";"9/13";446823818;446823818;"spskradomsko@poczta.fm";"www.spskradomsko.prv.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";10;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1808";"grodzki";"19.00";"WOJ. ŚLĄSKIE";612;190000076254;"I Liceum Ogólnokształcące";"41-500";"CHORZÓW";"gen. H. Dąbrowskiego";"36";322411712;322417294;"slowak@slowacki.edu.pl";"www.slowacki.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1248";"grodzki";"22.00";"WOJ. KUJAWSKO-POMORSKIE";675;190000053336;"VIII Liceum Ogólnokształcące";"87-100";"Toruń";"Grunwaldzka";"33/35";566602292;566602292;"zsps@pro.onet.pl";"www.zsps.torun.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";4;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"831";"ziemski";"11.00";"WOJ. ŚLĄSKIE";289;190000035327;"Liceum Ogólnokształcące";"44-280";"Rydułtowy";"Skalna";"1";324578360;324578360;"lo1rydultowy@poczta.onet.pl";"www.skalna1.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"105";"grodzki";"18.00";"WOJ. MAŁOPOLSKIE";588;190000007998;"V LIceum Ogólnokształcące";"33-300";"Nowy Sącz";"Jagiellońska";"84";184421005;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1828";"grodzki";"15.00";"WOJ. MAŁOPOLSKIE";426;190000077032;"XXVIII Liceum Ogólnokształcące";"30-501";"Kraków";"Czackiego";"11";126561397;126561397;"szkola@28lo.kki.krakow.pl";"www.28lo.kki.krakow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"71";"grodzki";"12.00";"WOJ. MAŁOPOLSKIE";271;190000005806;"XVI Liceum Ogólnokształcące";"31-902";"Kraków";"os. Willowe";"35";126442329;126442329;"liceum@liceum16.krakow.pl";"www.liceum16.krakow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1583";"ziemski";"15.00";"WOJ. LUBELSKIE";468;190000067676;"II Liceum Ogólnokształcące w Puławach";"24-100";"Puławy";"Kaniowczyków";"9";818864037;818864894;"zso1@um.pulawy.pl";"www.ken.pulawy.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";6;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"789";"grodzki";"3.00";"WOJ. ŚLĄSKIE";86;190000033895;"VII Liceum Ogólnokształcące";"44-270";"Rybnik";"Rymera";"24a";324211630;324211630;"szkola@zs5rybnik.pl";"www.zs5rybnik.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1265";"ziemski";"2.00";"WOJ. KUJAWSKO-POMORSKIE";54;190000054151;"Liceum Ogólnokształcące";"88-170";"Pakość";"";"125";523511130;523511130;"zsp@koscielec.pl";"www.koscielec.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";4;"wieś";"gmina miejsko-wiejska";0;"A"
"909";"ziemski";"3.00";"WOJ. WIELKOPOLSKIE";48;190000039363;"Liceum Ogólnokształcące Sióstr Salezjanek";"63-400";"Ostrów Wielkopolski";"Al. Słowackiego";"33A";627356231;627357709;"morano@osw.pl";"www.zsss.osw.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"575";"grodzki";"23.00";"WOJ. MAZOWIECKIE";712;190000026434;"III Liceum Ogólnokształcące";"07-410";"Ostrołęka";"Berlinga";"5";297603692;297603692;"zs5@os.home.pl";"www.zs5.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"7";"ziemski";"5.00";"WOJ. MAŁOPOLSKIE";103;190000003717;"Liceum Ogólnokształcące";"34-223";"ZAWOJA";"";"1570";338776044;338776044;"ZSZW.1570@interia.pl";"www.zswilczna.szkolnastrona.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"wieś";"gmina wiejska";0;"A"
"1364";"grodzki";"12.00";"WOJ. ZACHODNIOPOMORSKIE";351;190000057586;"III Liceum Ogólnokształcące im. Mikołaja Kopernika w Szczecinie";"70-812";"Szczecin";"Pomorska";"150";914600093;914600093;"lo3@um.szczecin.pl";"www.lo3.szczecin.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";32;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"916";"grodzki";"23.00";"WOJ. WIELKOPOLSKIE";759;190000039910;"III Liceum Ogólnokształcące";"62-800";"Kalisz";"Kościuszki";"10";627672036;627672036;"sekretariat@kopernik.kalisz.pl";"www.kopernik.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1837";"grodzki";"15.00";"WOJ. DOLNOŚLĄSKIE";394;190000077385;"VI Liceum Ogólnokształcące";"59-220";"Legnica";"Radosna";"17";768562550;768563770;"6lolegnica@gmail.com";"www.zso2.legnica.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";2;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"732";"ziemski";"5.00";"WOJ. ŚLĄSKIE";96;190000030817;"Liceum Ogólnokształcące";"43-170";"Łaziska Górne";"Cieszyńska";"12";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1903";"ziemski";"3.00";"WOJ. KUJAWSKO-POMORSKIE";46;190000080548;"Liceum Ogólnokształcące";"87-730";"Nieszawa";"Zjazd";"5";542838178;542838178;"lonieszawa@wp.pl";"www.liceumnieszawa.yoyo.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";4;"miasto do 5 tys.mieszkańców";"gmina miejska";0;"A"
"1279";"ziemski";"14.00";"WOJ. KUJAWSKO-POMORSKIE";386;190000054646;"Liceum Ogólnokształcące";"89-500";"Tuchola";"Pocztowa";"8A";523363850;523363851;"sekretariat@nowodworek.pl";"www.nowodworek.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";4;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"1493";"ziemski";"17.00";"WOJ. ŚWIĘTOKRZYSKIE";495;190000062660;"Liceum Ogólnokształcące nr III";"27-400";"Ostrowiec Świętokrzyski";"Sienkiewicza";"67";412621768;412664448;"lo3bronek@poczta.onet.pl";"www.broniewski.ostrowiec.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";26;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1541";"grodzki";"21.00";"WOJ. LUBELSKIE";662;190000066278;"I Liceum Ogólnokształcące im Stanisława Staszica w Lublinie";"20-043";"Lublin";"Al. Racławickie";"26";814411460;814411460;"sts@bachus.1lo.lublin.pl";"www.1lo.lublin.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";6;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"873";"grodzki";"7.00";"WOJ. WIELKOPOLSKIE";182;190000036118;"XXVIII Liceum Ogólnokształcące";"60-135";"Poznań";"Raszyńska";"48";618610027;618610043;"poczta@zsbd.pl";"www.zsbd.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1228";"ziemski";"4.00";"WOJ. KUJAWSKO-POMORSKIE";95;190000052095;"Liceum Ogólnokształcące im Karola Libelta";"89-240";"Kcynia";"22 stycznia";"1";525893743;525893335;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";4;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"1464";"grodzki";"23.00";"WOJ. ŚWIĘTOKRZYSKIE";748;190000062201;"I Liceum Ogólnokształcace im. Stefana Żeromskiego w Kielcach";"25-033";"Kielce";"Ściegiennego";"15";413612816;413612816;"lo1@zeromski.pl";"www.zeromski.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";26;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"566";"ziemski";"28.00";"WOJ. MAZOWIECKIE";834;190000025720;"I Liceum Ogólnokształcące";"06-400";"Ciechanów";"17 Stycznia";"66";236722404;236722404;"krasiniak@o2.pl";"http://www.krasiniak.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"943";"ziemski";"24.00";"WOJ. WIELKOPOLSKIE";698;190000040499;"Liceum Ogólnokształcące w Kole";"62-600";"Koło";"Blizna";"37";632721622;632721622;"sekretariat@lowkole.pl";"www.lowkole.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"291";"ziemski";"3.00";"WOJ. PODKARPACKIE";76;190000013632;"Liceum Ogólnokształcące im. św. Jana z Dukli w Dukli";"38-450";"Dukla";"Armii Krajowej";"1";134330008;134330008;"liceum@dukla.pl";"www.lo.dukla.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";18;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"41";"ziemski";"3.00";"WOJ. MAŁOPOLSKIE";78;190000005022;"IV Liceum Ogólnokształcące";"34-100";"WADOWICE";"SŁOWACKIEGO";"4";338233526;338233526;"zs1wadowice@wp.pl";"www.zs1wadowice.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"633";"grodzki";"22.00";"WOJ. MAZOWIECKIE";690;190000027468;"II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi";"08-110";"Siedkce";"B.Prusa";"12";256325597;256325597;"lo2siedlce@wp.pl";"http://lo2.ap.siedlce.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1503";"ziemski";"8.00";"WOJ. ŚWIĘTOKRZYSKIE";211;190000064030;"Liceum Ogólnokształcące w Zespole Szkół Nr 3 w Chmielniku";"26-020";"Chmielnik";"Dygasińskiego";"11";413542894;413542894;"zs3@zs3.chmielnik.com";"www.zs3.chmielnik.com";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";26;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"364";"ziemski";"3.00";"WOJ. PODKARPACKIE";86;190000016802;"Liceum Ogólnokształcące";"36-071";"Trzciana";"";"193";178514077;178514077;"zstw-trzciana@wp.pl";"www.zstw-trzciana.com.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";18;"wieś";"gmina wiejska";0;"A"
"1904";"ziemski";"4.00";"WOJ. LUBELSKIE";93;190000080633;"Liceum Ogólnokształcące w Józefowie";"23-460";"Józefów";"Broniewskiego";"14";846878016;846878016;"lojozefow@interia.pl";"";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";6;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"1355";"ziemski";"9.00";"WOJ. ZACHODNIOPOMORSKIE";262;190000057312;"I Liceum Ogólnokształcące w Sławnie";"76-100";"Sławno";"Augusta Cieszkowskiego";"4";598107662;598107662;"licslawno@poczta.onet.pl";"www.liceumslawno.com";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";32;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1585";"ziemski";"21.00";"WOJ. LUBELSKIE";503;190000067715;"II Liceum Ogólnokształcące";"21-100";"Lubartów";"1 Maja";"66/74";818543716;818552086;"szkola@lo2lubartow.pl";"lo2lubartow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";6;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1143";"grodzki";"10.00";"WOJ. POMORSKIE";291;190000048766;"XXII Liceum Ogólnokształcące";"80-152";"Gdańsk";"Powstańców Warszawskich";"25";583200540;583200541;"zsba@poczta.internetdsl.pl";"www.zsba.internetdsl.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";22;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1362";"grodzki";"10.00";"WOJ. ZACHODNIOPOMORSKIE";253;190000057583;"XI Liceum Ogólnokształcące";"71-246";"Szczecin";"Romera";"2";914394052;914394047;"zso4@miasto.szczecin.pl";"www.zso4.szczecin.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";32;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
