"";"powiattyp_nazwa";"l_oddzialow_i";"wojewodztwo";"l_uczniow_i";"jedn_id";"jedn_nazwa";"jedn_kodpoczt";"jedn_poczta";"jedn_ulica";"jedn_domlokal";"jedn_telefon";"jedn_faks";"jedn_email";"jedn_www";"rodzaj_jednostki";"zespol";"organ_prowadzacy";"publiczna";"specyfika_jednostki";"zwiazanie";"wojew_gus";"klasa_wielkosci_miejscowosci";"rodzaj_gminy";"braki_oddzialy"
"14";"grodzki";"10.00";"WOJ. MAŁOPOLSKIE";292;190000004350;"XIV Liceum Ogólnokształcące z oddziałami integracyjnymi";"33-100";"Tarnów";"Brodzińskiego";"9";146218316;146218316;"sekretariat@zso.tarnow.pl";"www.zso.tarnow.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"15";"grodzki";"26.00";"WOJ. MAŁOPOLSKIE";848;190000004353;"I Liceum Ogólnokształcące";"33-100";"Tarnów";"Piłsudskiego";"4";146888440;146888440;"sekretariat@i-lo.tarnow.pl";"www.i-lo.tarnow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"16";"grodzki";"28.00";"WOJ. MAŁOPOLSKIE";948;190000004354;"III Liceum Ogólnokształcące";"33-100";"Tarnów";"Brodzińskiego";"6";146888400;146888401;"dyrekcja@iii-lo.tarnow.pl";"www.iii-lo.tarnow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"17";"grodzki";"20.00";"WOJ. MAŁOPOLSKIE";597;190000004358;"IV Liceum Ogólnokształcące w Zespole Szkół Ogółnokształcących nr 1 w Tarnowie";"33-101";"Tarnów";"Norwida";"22";146330346;146330346;"sekreta@iv-lo.tarnow.pl";"www.iv-lo.tarnow.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"18";"grodzki";"1.00";"WOJ. MAŁOPOLSKIE";29;190000004431;"XIX Liceum Ogólnokształcące";"33-100";"Tarnów";"Os. Legionów H. Dąbrowskiego";"16";146224341;146224341;"sp23jpII@interia.pl";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"20";"grodzki";"15.00";"WOJ. MAŁOPOLSKIE";475;190000004482;"V Liceum Ogólnokształcące";"33-100";"Tarnów";"Rejtana";"20";146210514;146210514;"vlotarnow@op.pl";"www.v-lo.tarnow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"21";"grodzki";"4.00";"WOJ. MAŁOPOLSKIE";116;190000004486;"IX Liceum Ogólnokształcące";"33-101";"Tarnów";"E.Kwiatkowskiego";"17";146360810;146360811;"dyrzsliz1@umt.tarnow.pl";"www.zsliz1.tarnow.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"22";"grodzki";"17.00";"WOJ. MAŁOPOLSKIE";551;190000004535;"II Liceum Ogólnokształcące";"33-100";"Tarnów";"Mickiewicza";"16";146558895;146558895;"lo2@ii-lo.tarnow.pl";"www.ii-lo.tarnow.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"23";"grodzki";"18.00";"WOJ. MAŁOPOLSKIE";582;190000004538;"VII Licveum Ogólnokształcące";"33-100";"Tarnów";"Staszica";"8";146888409;146888409;"sekret7lo@umt.tarnow.pl";"www.vii-lo.tarnow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"24";"grodzki";"14.00";"WOJ. MAŁOPOLSKIE";424;190000004547;"XVI Liceum Ogólnokształcące";"33-100";"Tarnów";"Al. Solidarności";"18";146889055;146889055;"lo16tarnow@o2.pl";"16lo.tarman.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"25";"ziemski";"11.00";"WOJ. MAŁOPOLSKIE";283;190000004647;"Liceum Ogólnokształcące";"32-650";"Kęty";"Kościuszki";"29";338453072;338452911;"sekretariat@dabrowska.info";"dabrowska.info";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"26";"ziemski";"2.00";"WOJ. MAŁOPOLSKIE";69;190000004654;"Liceum Ogólnokształcące";"32-660";"Chełmek";"Krakowska";"18";338461171;338461171;"sekretariat@jkilinski.edu.pl";"www.jklinski.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"27";"ziemski";"2.00";"WOJ. MAŁOPOLSKIE";49;190000004671;"Liceum ogólnokształcące";"32-650";"Kęty";"Żwirki i Wigury";"27a";338453268;338452131;"sekretariat@zsme.net";"www.zsme.net";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"28";"ziemski";"23.00";"WOJ. MAŁOPOLSKIE";661;190000004685;"Liceum Ogólnokształcące Nr I w Oświęcimiu";"32-600";"Oświęcim";"Konarskiego";"24";338431456;338431456;"lo@konarski.edu.pl";"lo.konarski.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"29";"ziemski";"9.00";"WOJ. MAŁOPOLSKIE";284;190000004691;"Salezjańskie Publiczne Liceum Ogólnokształcące";"32-600";"Oświęcim";"Jagiełły";"10";338443464;338425916;"szkola@salezjanie.edu.pl";"www.salezjanie.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"31";"ziemski";"12.00";"WOJ. MAŁOPOLSKIE";304;190000004736;"Powiatowe Liceum Ogólnokształcące im.S.Wyspiańskiego";"32-650";"Kęty";"Wyspiańskiego";"2";338453730;338453730;"sekretariat@wyspian.pl";"www.wyspian.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"32";"ziemski";"25.00";"WOJ. MAŁOPOLSKIE";655;190000004740;"Liceum Ogólnokształcące Mistrzostwa Sportowego";"32-602";"Oświęcim";"Bema";"8";338424566;338424566;"pzsomsit@gmail.com";"www.pz2.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"33";"ziemski";"9.00";"WOJ. MAŁOPOLSKIE";290;190000004746;"LICEUM OGÓLNOKSZTAŁCĄCE";"32-600";"Oświęcim";"Stanisławy Leszczyńskiej";"8";338431680;338431680;"sekretariat@zs3.dhs.org";"www.pz3.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"34";"ziemski";"1.00";"WOJ. MAŁOPOLSKIE";21;190000004762;"Liceum Ogólnokształcace";"34-240";"Jordanów";"Gen. Maczka";"131";182675658;182675658;"jordankowski@pro.onet.pl";"zsdjordanow.iap.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"35";"ziemski";"24.00";"WOJ. MAŁOPOLSKIE";763;190000004778;"Liceum Ogólnokształcące im. Marii Skłodowskiej -Curie";"34-200";"Sucha Beskidzka";"Płk. Tadeusza Semika";"1";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"36";"ziemski";"13.00";"WOJ. MAŁOPOLSKIE";330;190000004797;"Liceum Ogólnokształcące";"34-240";"Jordanów";"Kolejowa";"9";182675514;182674957;"zskjordanow@iap.pl";"zskjordanow.iap.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"37";"ziemski";"3.00";"WOJ. MAŁOPOLSKIE";88;190000004800;"Liceum Ogólnokształcące im. św. Jana Kantego";"34-220";"Maków Podhalański";"Rynek";"8";338771630;338771630;"zsmp@isg.pl";"www.zsmp.isg.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"38";"ziemski";"2.00";"WOJ. MAŁOPOLSKIE";59;190000004997;"II Liceum Ogólnokształcące";"34-120";"Andrychów";"Starowiejska";"22a";338752334;338752334;"sekretariat@zs1andrychow.pl";"zs1andrychow.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"39";"ziemski";"6.00";"WOJ. MAŁOPOLSKIE";153;190000005001;"II LO";"34-100";"Wadowice";"Zegadłowicza";"36";338731775;338731775;"zsmwadowice@pro.onet.pl";"zsmwadowice.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"40";"ziemski";"23.00";"WOJ. MAŁOPOLSKIE";670;190000005003;"Liceum Ogólnokształcące im.Marii Skłodowskiej-Curie";"34-120";"Andrychów";"F.Pachla";"16";338752503;338752503;"liceum.andrychow@neostrada.pl";"www:liceum-andrychow.livenet.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"41";"ziemski";"3.00";"WOJ. MAŁOPOLSKIE";78;190000005022;"IV Liceum Ogólnokształcące";"34-100";"WADOWICE";"SŁOWACKIEGO";"4";338233526;338233526;"zs1wadowice@wp.pl";"www.zs1wadowice.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"42";"ziemski";"6.00";"WOJ. MAŁOPOLSKIE";170;190000005026;"III Liceum Ogólnokształcące";"34-100";"Wadowice";"Wojska Polskiego";"13";338234186;338733460;"ZespolSzkolnr3@poczta.fm";"www.zszwadowice.iap.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"43";"ziemski";"4.00";"WOJ. MAŁOPOLSKIE";97;190000005032;"II LICEUM OGÓLNOKSZTAŁCĄCE";"34-130";"KALWARIA ZEBRZYDOWSKA";"AL. JANA PAWŁA II";"3";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"44";"ziemski";"18.00";"WOJ. MAŁOPOLSKIE";512;190000005037;"I Liceum Ogólnokształcące";"34-100";"Wadowice";"Mickiewicza";"16";338234144;338234144;"sekretariat_lo@poczta.onet.pl";"www.zsowadowice.to.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"45";"ziemski";"18.00";"WOJ. MAŁOPOLSKIE";486;190000005064;"I LO";"34-130";"Kalwaria Zebrzydowska";"Mickiewicza";"9";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"46";"ziemski";"2.00";"WOJ. MAŁOPOLSKIE";52;190000005070;"Liceum ogólnokształcące";"34-100";"Wadowice";"Dworska";"8";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"wieś";"gmina wiejska";0
"47";"ziemski";"6.00";"WOJ. MAŁOPOLSKIE";182;190000005193;"III Liceum Ogólnokształcące w Olkuszu";"32-300";"Olkusz";"Francesco Nullo";"32";326430692;326432399;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"48";"ziemski";"16.00";"WOJ. MAŁOPOLSKIE";503;190000005202;"I Liceum Ogólnokształcące";"32-300";"Olkusz";"Polna";"8";326431490;326431490;"sekretariat@lo1.olkusz.pl";"www.lo1.olkusz.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"49";"ziemski";"9.00";"WOJ. MAŁOPOLSKIE";261;190000005206;"Liceum Ogólnokształcące";"32-340";"Wolbrom";"Skalska";"18";326441055;326441055;"zswolbrom@poczta.onet.pl";"www.zs.wolbrom.com";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"50";"ziemski";"3.00";"WOJ. MAŁOPOLSKIE";105;190000005211;"Liceum ogólnokształcące";"32-310";"Klucze";"Zawierciańska";"15";326482421;326428426;"zsklucze@poczta.fm";"www.zsklucze.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"wieś";"gmina wiejska";0
"51";"ziemski";"13.00";"WOJ. MAŁOPOLSKIE";346;190000005214;"II Liceum Ogólnokształcące im.Ziemi Olkuskiej";"32-305";"Olkusz";"Żeromskiego";"1";326430442;326430442;"lo2.olkusz@neostrada.pl";"lo2.olkusz.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"52";"ziemski";"19.00";"WOJ. MAŁOPOLSKIE";665;190000005225;"IV Liceum Ogólnokształcące";"32-300";"Olkusz";"Janusza Korczaka";"7";327546035;326413038;"4lo@wp.pl";"www.4lo.ilkus.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"53";"ziemski";"4.00";"WOJ. MAŁOPOLSKIE";109;190000005389;"Liceum ogólnokształcące";"32-590";"Libiąż";"Górnicza";"3";326277961;326277961;"zslibiaz@interia.pl";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"55";"ziemski";"5.00";"WOJ. MAŁOPOLSKIE";109;190000005422;"Publiczne Społeczne Liceum Ogólnokształcące w Trzebini";"32-541";"Trzebinia";"Grunwaldzka";"101";326122201;326122201;"liceumsiersza@interia.pl";"www.pslocom.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"56";"ziemski";"25.00";"WOJ. MAŁOPOLSKIE";667;190000005438;"I Liceum Ogólnokształcące w Chrzanowie";"32-500";"Chrzanów";"Piłsudskiego";"14";326232748;326232748;"liceum1@poczta.fm";"www.1lo.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"57";"ziemski";"22.00";"WOJ. MAŁOPOLSKIE";687;190000005439;"II Liceum Ogólnokształcące";"32-500";"Chrzanów";"Kardynała Wyszyńskiego";"19";326236594;326236594;"liceum2chrzanow@o2.pl";"www.liceum.xon.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"59";"ziemski";"2.00";"WOJ. MAŁOPOLSKIE";36;190000005505;"Liceum Ogólnokształcące";"32-210";"Książ Wielki";"Witosa";"10";413838010;413838010;"zsppksiaz@poczta.onet.pl";"www.zsppksiaz.republika.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"wieś";"gmina wiejska";0
"60";"ziemski";"16.00";"WOJ. MAŁOPOLSKIE";551;190000005510;"Liceum Ogólnokształcące";"32-200";"Miechów";"M.Konopnickiej";"2";413831035;413831035;"lo@miechow.pl";"www.lo@miechow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"61";"grodzki";"21.00";"WOJ. MAŁOPOLSKIE";703;190000005528;"XX Liceum Ogólnokształcące";"13-161";"Kraków";"Szlak";"5";126331033;126341026;"xxlo-krakow@xxlo-krakow.edu.pl";"xxlo-krakow.edu.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"62";"grodzki";"1.00";"WOJ. MAŁOPOLSKIE";13;190000005635;"XXXIII Liceum Ogólnokształcące";"30-610";"Kraków";"Millana";"16";122661774;122676010;"szkola@zsps.krakow.pl";"www.zsps.krakow.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"63";"grodzki";"21.00";"WOJ. MAŁOPOLSKIE";727;190000005701;"XI Liceum Ogólnokształcące";"31-948";"Kraków";"os. Teatralne";"33";126440726;126440726;"sekretariat@xilo.krakow.pl";"www.xilo.neostrada.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"65";"grodzki";"26.00";"WOJ. MAŁOPOLSKIE";920;190000005791;"I LICEUM OGÓLNOKSZTAŁCĄCE";"31-101";"KRAKÓW";"PLAC NA GROBLACH";"9";124229679;124228661;"listy@nowodworek.krakow.pl";"www.nowodworek.krakow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"66";"grodzki";"24.00";"WOJ. MAŁOPOLSKIE";871;190000005793;"V Liceum Ogólnokształcące";"31-116";"Kraków";"Studencka";"12";124223172;124229231;"ksiegowosc@v-lo.krakow.pl";"www.v-lo.krakow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"67";"grodzki";"15.00";"WOJ. MAŁOPOLSKIE";525;190000005794;"VI Liceum Ogólnokształcące";"31-057";"Kraków";"Wąska";"7";124306908;124306768;"vilo@vilo.krakow.pl";"vilo.krakow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"68";"grodzki";"30.00";"WOJ. MAŁOPOLSKIE";1061;190000005795;"VIII Liceum Ogólnokształcące";"31-531";"Kraków";"Grzegórzecka";"24";124211571;124211571;"liceum@viii-lo.krakow.pl";"viii-lo.krakow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"69";"grodzki";"28.00";"WOJ. MAŁOPOLSKIE";960;190000005796;"X Liceum Ogólnokształcące";"31-148";"Kraków";"Wróblewskiego";"8";126331197;126331197;"lox@x-lo.krakow.pl";"www.x-lo.krakow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"70";"grodzki";"27.00";"WOJ. MAŁOPOLSKIE";845;190000005797;"XIII Liceum Ogólnokształcące";"31-542";"Kraków";"Sądowa";"4";124110821;124110821;"lo13@xiii-lo.krakow.pl";"xiii-lo.krakow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"71";"grodzki";"12.00";"WOJ. MAŁOPOLSKIE";271;190000005806;"XVI Liceum Ogólnokształcące";"31-902";"Kraków";"os. Willowe";"35";126442329;126442329;"liceum@liceum16.krakow.pl";"www.liceum16.krakow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"72";"grodzki";"15.00";"WOJ. MAŁOPOLSKIE";382;190000005911;"XXIV Liceum Ogólnokształcące";"31-517";"Kraków";"Wilhelma ""Wilka"" Wyrwińskiego";"1";124111102;124121700;"sekretariat@gimnazjum-nr5.krakow.pl";"www.xxivliceum.krakow.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"73";"grodzki";"27.00";"WOJ. MAŁOPOLSKIE";891;190000005929;"IV Liceum Ogólnokształcące";"30-525";"Kraków";"Krzemionki";"11";126563620;126563620;"iv-lo@iv-lo.krakow.pl";"iv-lo.krakow.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"74";"grodzki";"24.00";"WOJ. MAŁOPOLSKIE";796;190000005934;"VII Liceum Ogólnokształcące";"30-071";"Kraków";"Skarbińskiego";"5";126374291;126386915;"liceum@vii-lo.krakow.pl";"www.vii-lo.krakow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"75";"grodzki";"11.00";"WOJ. MAŁOPOLSKIE";298;190000005936;"XIV Liceum Ogólnokształcące";"31-322";"Kraków";"Chełmońskiego";"24";126374674;126369316;"LO14@XIV-LO.KRAKOW.PL";"WWW.XIV-LO.KRAKOW.PL";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"76";"grodzki";"9.00";"WOJ. MAŁOPOLSKIE";268;190000006026;"Publiczne Salezjańskie Liceum Ogólnokształcące";"31-624";"Kraków";"os. Piastów";"34";126480489;126426721;"szkolanh@salezjanie.com";"www.salezjanie.com";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"77";"grodzki";"5.00";"WOJ. MAŁOPOLSKIE";95;190000006033;"Katolickie Liceum Ogólnokształcące";"31-152";"Kraków";"Pędzichów";"13";126345050;126343057;"szkola@kcecak.krakow.pl";"www.kcecak.krakow.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
